customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,8.76,0,1440,BBQ Pineapple & Chicken Flatbreads
2,7.22,480,720,Seared Salmon & Lemon-Dijon Sauce|Mexican-Spiced Steak & Street Corn Rice Bowls|Spicy Peruvian Organic Chicken
3,6.36,480,720,Sweet Thai Chili Salmon|Greek Goddess Steak & Bulgur Bowls
4,9.52,0,1440,One-Pan French Onion & Trout Orzotto
5,4.9,720,960,Zucchini & Beef Pomodoro Penne Bake
6,2.82,720,960,Palermo Prosciutto & Chicken Fusilli
7,3.65,0,1440,Seared Salmon & Lemon-Dijon Sauce
8,3.84,720,960,Szechuan-Glazed Chicken & Jasmine Rice|Smoky Mustard Chicken & Roasted Potatoes
9,3.7,480,720,Smashed Black Bean & Chicken Tostadas
10,5.19,480,720,Seared Salmon & Lemon-Dijon Sauce
11,3.33,960,1200,Pub-Style Shepherd's Pie|Southwest Chicken Tacos|Crispy Kickin' Cayenne Chicken Cutlets
12,9.94,720,960,Creamy Chicken Pot Pie|Smashed Black Bean & Beef Tostadas
13,6.12,0,1440,Steak Agnolotti in Brown Butter Sauce
14,9.6,960,1200,Soy-Ginger Beef Meatball Rice Bowls
15,3.47,0,1440,Greek Goddess Steak & Bulgur Bowls|Rainbow Trout Agnolotti
16,7.12,480,720,Figgy Balsamic Bavette Steak
17,2.81,720,960,One-Pot Loaded Three-Bean Chicken Chili
18,5.19,0,1440,One-Pan Cheesy Beef Tortilla Melts
19,7.33,720,960,Smashed Black Bean & Chicken Tostadas|Prosciutto-Wrapped Herb-Stuffed Chicken
20,5.85,960,1200,Argentinian Chicken
21,8.26,960,1200,Creamy Dill Sirloin Steak|Crispy Organic Chicken & Bacon Alfredo|Shawarma Turkey & Turmeric Rice Bowls
22,8.55,480,720,Fried Chicken BLT Sandwiches|Silky Sicilian Penne with Bacon|Paprika Chicken with Sweet Potato Jumble
23,8.18,720,960,Creamy Chicken Pot Pie|Salmon with Lemon-Dill Sauce
24,6.61,960,1200,Shrimp & Greek Salad Pita Pockets|Low-Lift Romesco Chicken & Garlic Herb Orzo|Crispy Korean-Style BBQ Mushroom Sandwiches|Harvest Kale Salad with Bacon
25,6.51,720,960,Cheesy Prosciutto Organic Chicken Rollatini|Southwest Steak Fajita Tacos
26,8.78,0,1440,Smoky Chipotle Beef Burrito Bowls
27,9.52,0,1440,Shrimp Spaghetti with a Kick
28,4.7,960,1200,Seared Salmon & Kale Salad with Mango
29,5.22,720,960,Sweet & Spicy Beef Fried Rice|Cheesy Buffalo Chicken Flatbreads
30,4.97,960,1200,Super-Quick Chicken Spring Rolls & Mediterranean Salad|Crispy Parmesan Chicken & Bacon Linguine
31,5.36,480,720,Dijon Dill Chicken
32,4.51,480,720,One-Pan French Onion & Trout Orzotto
33,3.88,0,1440,Seared Salmon & Kale Salad with Mango|Harvest Kale & Roasted Brussels Salad
34,5.3,720,960,Argentinian Bavette Steak
35,8.34,960,1200,Crispy Kickin' Cayenne Chicken Cutlets
36,8.78,480,720,Chicken & Greek Salad Pita Pockets|Silky Sicilian Gluten-Free Fresh Fusilli
37,5.9,720,960,One-Pan Cantina Shrimp Fajitas
38,8.97,0,1440,Smoky Chipotle Beef Burrito Bowls|BBQ Flatbreads & Chicken Sausage
39,7.34,480,720,Gouda-Stuffed Pork Meatloaves|Greek Goddess Shrimp & Bulgur Bowls|Savory Mushroom & Spinach Ramen
40,8.25,960,1200,One-Pan Cantina Shrimp Fajitas|Pub-Style Turkey Shepherd's Pie
41,7.75,0,1440,Shrimp Spaghetti with a Kick
42,5.61,480,720,Smoky Chipotle Beef Burrito Bowls
43,7.14,0,1440,Cheesy Buffalo Chicken & Mashed Potato Bake|Zucchini & Beef Pomodoro Penne Bake
44,9.2,960,1200,Air Fryer Cajun Chicken & Bacon Sandos|Pesto Shrimp Salad Lettuce Wraps|Firecracker Meatballs
45,5.93,0,1440,Soy-Ginger Beef Meatball Rice Bowls
46,4.77,960,1200,Seared Salmon & Kale Salad with Mango
47,3.28,480,720,One-Pan French Onion & Steak Orzotto
48,8.68,480,720,One-Pot Loaded Three-Bean Chicken Chili
49,5.63,720,960,"Turkey, Sweet Potato & Pepper Quesadillas|Seared Salmon & Lemon-Dijon Sauce"
50,3.82,960,1200,Steak Salad & Tangy Red Pepper Vinaigrette
