customer_id,service_time,window_start,window_end,recipes
0,0.0,480,1260,DEPOT
1,9.77,480,1260,Sweet & Smoky Ranch Steak
2,4.24,720,960,Zesty Lemon-Parsley Trout|Low-Lift Romesco Chicken & Garlic Herb Orzo|Savory Paprika Tilapia with Rice & Beans|Pesto Chicken Salad Lettuce Wraps|Spicy Peruvian Organic Chicken
3,6.55,480,720,Argentinian Bavette Steak|Organic Chicken Milanese & Pesto Penne|Lemon Herb Salmon & Couscous
4,5.02,480,720,"Lemon Herb Chicken & Artichoke-Celery Salad|Chicken, Sweet Potato & Pepper Quesadillas|Spicy Peruvian Steak|Sweet & Smoky Pork Filet"
5,6.57,960,1200,Gouda-Stuffed Pork Meatloaves
6,4.68,960,1200,Air Fryer Swicy Cajun Chicken Sandwiches|Peachy Gochujang Pork Wraps
7,3.47,480,1260,Shawarma-Spiced Chicken & Rice Bowls|Organic Chicken Chimichurri Grain Bowls|Harvest Kale Salad with Sirloin Steak
8,6.12,480,1260,Crispy Korean-Style BBQ Mushroom Sandwiches|Shrimp & Greek Salad Pita Pockets|Soy-Ginger Beef Meatball Rice Bowls
9,3.48,960,1200,Lemon Herb Salmon & Couscous|BBQ Pineapple & Chicken Flatbreads|Zucchini & Turkey Pomodoro Penne Bake
10,5.63,480,720,Mushroom & Spinach Ramen with Chicken|Shawarma-Spiced Beef & Rice Bowls
11,4.49,720,960,"Szechuan-Glazed Rib-Eye & Jasmine Rice|Warm Lentil, Carrot & Feta Salad|Zucchini Pomodoro Penne Bake"
12,8.81,480,720,Creamy Chicken Pot Pie|Smashed Black Bean & Chicken Tostadas
13,6.12,960,1200,Steak Agnolotti in Brown Butter Sauce
14,9.6,720,960,Soy-Ginger Beef Meatball Rice Bowls|Lemon Herb Salmon & Couscous|Pesto Chicken Salad Lettuce Wraps|Sweet Soy Salmon & Chili Roasted Green Bean Bowls
15,3.47,480,1260,Greek Goddess Steak & Bulgur Bowls|Rainbow Trout Agnolotti|Blackened Half Chicken with Mango-Lime BBQ Sauce|Harvest Kale Salad with Sirloin Steak
16,7.12,480,1260,"Figgy Balsamic Bavette Steak|Bacon, Sweet Potato & Pepper Quesadillas"
17,2.81,720,960,One-Pot Loaded Three-Bean Chicken Chili|Sweet & Tangy Tempura Chicken Sandos
18,5.19,480,720,One-Pan Cheesy Beef Tortilla Melts|Mexican-Spiced Shrimp & Street Corn Rice Bowls|Crispy Parmesan Chicken & Bacon Linguine
19,7.33,720,960,Smashed Black Bean & Chicken Tostadas|Prosciutto-Wrapped Herb-Stuffed Chicken
20,5.85,720,960,Argentinian Chicken|Crispy Kickin' Cayenne Chicken Cutlets
21,8.26,960,1200,Creamy Dill Sirloin Steak|Crispy Organic Chicken & Bacon Alfredo|Shawarma Turkey & Turmeric Rice Bowls|Peachy Gochujang Pork Wraps
22,8.55,480,1260,Fried Chicken BLT Sandwiches|Silky Sicilian Penne with Bacon|Paprika Chicken with Sweet Potato Jumble
23,8.18,480,1260,Creamy Chicken Pot Pie|Salmon with Lemon-Dill Sauce
24,6.61,720,960,Shrimp & Greek Salad Pita Pockets|Low-Lift Romesco Chicken & Garlic Herb Orzo|Crispy Korean-Style BBQ Mushroom Sandwiches|Harvest Kale Salad with Bacon
25,6.51,960,1200,Cheesy Prosciutto Organic Chicken Rollatini|Southwest Steak Fajita Tacos|Mushroom & Spinach Ramen with Beef
26,8.78,480,1260,Smoky Chipotle Beef Burrito Bowls|Mexican-Spiced Steak & Street Corn Rice Bowls|One-Pan Cantina Shrimp Fajitas
27,9.52,720,960,Shrimp Spaghetti with a Kick|Air Fryer Cajun Chicken & Bacon Sandos
28,4.7,480,720,Seared Salmon & Kale Salad with Mango|Steak Agnolotti in Brown Butter Sauce|Harvest Kale Salad with Shrimp
29,5.22,480,720,Sweet & Spicy Beef Fried Rice|Cheesy Buffalo Chicken Flatbreads|Zucchini & Beef Pomodoro Penne Bake
30,4.97,480,1260,Super-Quick Chicken Spring Rolls & Mediterranean Salad|Crispy Parmesan Chicken & Bacon Linguine
31,5.36,720,960,Dijon Dill Chicken|Southwest Chicken Tacos
32,4.51,720,960,One-Pan French Onion & Trout Orzotto
33,3.88,480,1260,Seared Salmon & Kale Salad with Mango|Harvest Kale & Roasted Brussels Salad
34,5.3,960,1200,Argentinian Bavette Steak|Turkey Lomo Saltado
35,8.34,960,1200,Crispy Kickin' Cayenne Chicken Cutlets|Soy-Ginger Beef Meatball Rice Bowls
36,8.78,480,1260,Chicken & Greek Salad Pita Pockets|Silky Sicilian Gluten-Free Fresh Fusilli|Air Fryer Swicy Cajun Chicken Sandwiches|Pesto Shrimp Salad Lettuce Wraps
