customer_id,service_time,window_start,window_end,recipes
0,0.0,480,1260,DEPOT
1,2.12,720,960,Chicken with Cherry Pan Sauce
2,4.08,960,1200,Shawarma-Spiced Beef & Rice Bowls
3,4.74,480,720,Crispy Parmesan Chicken & Bacon Linguine
4,3.45,960,1200,Cheesy Southwest Chicken & Kale Rice
5,9.2,960,1200,Southwest Shrimp Tacos
6,7.44,240,480,Mexican-Spiced Salmon & Street Corn Rice Bowls
7,7.44,480,720,Prep & Bake Dijon Pecan Organic Chicken
8,5.73,480,720,Coconut-Crusted Tilapia Sandwiches
9,9.31,480,720,Mexican-Spiced Chicken & Street Corn Rice Bowls
10,2.96,960,1200,Crispy Parmesan Chicken & Bacon Linguine
11,5.6,720,960,One-Pan Cantina Shrimp Fajitas
12,3.8,480,720,BBQ Pineapple & Bacon Flatbreads
13,8.05,1200,1260,Hainanese-Style Roasted Chicken & Rice
14,8.03,960,1200,Firehouse Cheeseburgers
15,7.1,240,480,BBQ Pineapple & Chicken Flatbreads
16,5.59,720,960,Szechuan-Glazed Rib-Eye & Jasmine Rice
17,3.49,1200,1260,Butternut Agnolotti in Brown Butter & Parmesan
18,5.5,1200,1260,"Warm Lentil, Carrot & Feta Salad"
19,8.07,240,480,Shawarma Turkey & Turmeric Rice Bowls
20,8.18,720,960,Silky Sicilian Penne with Shrimp
21,9.13,960,1200,Zucchini Pomodoro Fusilli Bake
22,3.5,480,240,Smashed Black Bean & Chicken Tostadas
23,9.78,720,960,Mexican-Spiced Steak & Street Corn Rice Bowls
24,5.59,240,480,"Sweet Soy Chicken, Mushroom & Snow Pea Stir-Fry"
25,2.68,1200,1260,Smoky Chipotle Beef Burrito Bowls
26,8.01,960,1200,Cheesy Buffalo Chicken & Mashed Potato Bake
27,9.34,720,960,Spicy Peruvian Steak
28,5.54,480,240,Silky Sicilian Penne & Sirloin Steak
29,5.06,480,240,Air Fryer Cajun Organic Chicken Sandos
30,7.3,480,720,Szechuan Pork Noodle Stir-Fry
31,6.76,480,720,Lemon Herb Organic Chicken & Couscous
32,6.03,240,480,Zucchini & Beef Pomodoro Penne Bake
33,9.8,720,960,Crispy Tofu Sesame Lo Mein
34,3.38,720,960,Prep & Bake Cheesy Tomato Ravioli
35,3.33,1200,1260,Figgy Balsamic Bavette Steak
36,3.54,1200,1260,Butternut Agnolotti in Brown Butter & Parmesan
37,9.99,1200,1260,Silky Sicilian Gluten-Free Fresh Fusilli
38,9.17,480,720,Butternut Agnolotti in Brown Butter & Parmesan
39,6.98,720,960,One-Pan French Onion & Trout Orzotto
